px1,ix1,dx1,px2,ix2,dx2,py,iy,dy,perf,safe
100,100,2,100,100,2,100,100,2,224.484,248.612
98.6153,72.7066,1.2883,91.1293,109.8382,2.1659,48.5469,105.5242,2.0625,215.8189,269.481
124.556,76.9305,1.9839,41.9335,127.8872,2.005,46.6001,17.581,1.8653,97.5636,252.0901
17.2525,19.8931,2.0214,84.855,127.3281,1.967,126.7095,141.7435,2.0201,261.871,253.9606
41.2473,1,2.4151,35.2184,182.8753,2.1666,74.6553,195.5106,1.8446,277.761,275.955
46.9969,96.096,2.0146,100.1663,1,0.7959,135.3078,119.0309,2.478,271.3765,275.5618
82.9229,273.5173,3.4818,23.9346,150.9952,2.3633,74.8618,1,1.9078,128.4054,243.2239
204.5412,149.7151,2.9402,46.0486,151.8157,1.4731,111.1677,172.2259,1.2638,374.4058,248.569
98.4988,214.1423,4.9329,91.3464,217.412,1.6345,27.6939,1,2.244,52.9517,263.623
152.7221,137.3573,3.5558,58.1262,1,1.4141,165.425,205.4283,1.9385,392.7953,273.622
109.3074,167.2312,1.8017,103.1859,159.0068,1.9677,69.3296,247.7323,2.4517,423.4521,274.7918
116.1434,163.9609,1.9051,100.1999,171.5904,1.88,65.6568,237.0166,2.6179,388.6377,253.7869
119.9191,206.7437,1.8652,99.911,172.9787,1.8069,85.3151,243.3544,2.3733,391.9946,228.4106
114.0541,156.5188,1.8694,116.5768,153.5657,1.8297,77.8938,257.2209,2.6797,388.7785,242.733
80.3498,97.4457,1.1532,72.6684,97.4457,2.603,52.4392,44.4738,2.0129,138.3461,274.7203
112.5477,88.5014,3.2517,95.3877,114.9481,3.179,75.1566,82.2914,1.7578,207.4122,257.6133
92.4676,18.2754,1.5375,59.0423,1,1.9882,131.9889,1,1.7275,189.1715,261.5143
80.0421,116.8936,2.902,101.0025,111.6579,5,80.4312,214.9553,1.2677,335.9417,252.3858
113.9262,171.6502,1.9787,29.2223,1,4.3464,83.1095,69.6098,0.8443,184.7428,243.3448
63.3173,157.1338,0.5329,87.7052,23.2856,3.7148,182.1949,158.0827,2.0866,359.7186,271.5637
107.0354,1,0.5,1,102.4653,3.6038,148.471,107.9868,0.5,231.2066,264.0791
46.495,69.9382,0.5,85.0543,315.72,5,250,56.1157,2.0749,337.3937,269.7405
201.8738,348.4094,2.5793,223.2509,385.2479,2.4139,153.3168,475.9706,3.4688,777.0891,192.774
204.604,365.4079,2.1485,212.9291,412.5651,2.5011,163.0854,500,3.5559,854.4648,282.2219
186.8013,316.8675,2.4323,225.3904,388.2393,2.6351,150.3444,476.4773,3.2004,811.7738,281.2423
217.3978,348.93,2.1414,220.9072,400.1691,2.3559,165.0518,500,3.5195,868.0628,268.0322
196.7745,359.0865,2.3806,192.1727,357.1937,2.5897,180.1256,500,3.3491,728.5006,214.0941
224.9656,357.6795,2.2335,226.3939,406.9714,2.7504,175.0211,474.3676,3.5342,738.3493,217.4431
182.5391,349.8929,2.3367,203.3443,355.9567,2.6767,164.4422,500,3.1159,733.9188,229.1212
201.8738,364.1923,2.0638,211.1101,403.642,2.4101,160.2351,500,3.5362,888.7503,284.1881
